Document Type,Provider,AHCA Case Number,Formal/Informal Case Number,Date_Rendered
Defaults and Dismissals,Regional Medical Center Bayonet Point,2007012668,,1/7/2008
Settlement Agreements,Regional Medical Center Bayonet Point,2007013895,,2/20/2008
Defaults and Dismissals,Regional Medical Center Bayonet Point,2008003966,,6/3/2008
Defaults and Dismissals,Regional Medical Center Bayonet Point,2008005835,,6/10/2008
Defaults and Dismissals,Regional Medical Center Bayonet Point,2008004910,,4/25/2008
Defaults and Dismissals,Regional Medical Center Bayonet Point,2008003713,,12/8/2008
Defaults and Dismissals,Regional Medical Center Bayonet Point,"2009001351, 10-0256",,5/21/2009
Defaults and Dismissals,Regional Medical Center Bayonet Point,"2009011420, 10-0256",,10/8/2009
Settlement Agreements,Regional Medical Center Bayonet Point,"2020001911, 2020001909",,5/14/2020
Defaults and Dismissals,Regional Medical Center Bayonet Point,2019011671,,8/7/2019
Defaults and Dismissals,Regional Medical Center Bayonet Point,SMRP3019,,8/15/2019
Defaults and Dismissals,Regional Medical Center Bayonet Point,2018018810,,8/14/2019
Settlement Agreements,Regional Medical Center Bayonet Point,"2018004282, 2018004474",,12/11/2018
Defaults and Dismissals,Regional Medical Center Bayonet Point,2016012938,,8/27/2018
Settlement Agreements,Regional Medical Center Bayonet Point,2017009208,,8/29/2018
Settlement Agreements,Regional Medical Center Bayonet Point,2017009643,,8/29/2018
Defaults and Dismissals,Regional Medical Center Bayonet Point,SMRP2048,,5/17/2018
Defaults and Dismissals,Regional Medical Center Bayonet Point,2018011759,,8/14/2018
Defaults and Dismissals,Regional Medical Center Bayonet Point,2013000330,13-0157CON,1/6/2014
Settlement Agreements,Regional Medical Center Bayonet Point,2013005357,,7/31/2013
Defaults and Dismissals,Regional Medical Center Bayonet Point,2013010729,,12/16/2013
Defaults and Dismissals,Regional Medical Center Bayonet Point,2012007764,,8/6/2012
Defaults and Dismissals,Regional Medical Center Bayonet Point,2010007260,,7/21/2010
Settlement Agreements,Regional Medical Center Bayonet Point,2011007733,,2/10/2012
Settlement Agreements,Regional Medical Center Bayonet Point,2011002510,,5/25/2011
Defaults and Dismissals,Regional Medical Center Bayonet Point,2011007168,,7/13/2011
Defaults and Dismissals,Regional Medical Center Bayonet Point,2017011084,,12/19/2017
Defaults and Dismissals,Regional Medical Center Bayonet Point,2014009377,,12/3/2014
Settlement Agreements,Regional Medical Center Bayonet Point,2015004945,,11/4/2015
Settlement Agreements,Regional Medical Center Bayonet Point,2015004940,,9/22/2015
Defaults and Dismissals,Regional Medical Center Bayonet Point,2015009872,,2/9/2016
Defaults and Dismissals,Regional Medical Center Bayonet Point,2016010539,,11/9/2016
Defaults and Dismissals,Regional Medical Center Bayonet Point,SMRP1007,,7/17/2017
Settlement Agreements,Regional Medical Imaging Inc,2015005904,15-247PH,8/4/2015
Defaults and Dismissals,Regional Obstetric Consultants,CI 08-7519-000,,12/17/2008
Defaults and Dismissals,Regional Oncology Center At Ormond Beach,2009009796,,10/19/2009
Defaults and Dismissals,Regional Oxygen & Medical Equipment,2004010408,,1/18/2005
Settlement Agreements,Regis Manor LLC,2024015875,,2/24/2025
Defaults and Dismissals,Regis Manor LLC,2024015875,,2/3/2025
Settlement Agreements,Registered Electrodiagnostic Mobil Lab Inc,2007002889,07-145PH,9/4/2007
Defaults and Dismissals,Registered Electrodiagnostic Mobil Lab Inc,2009002715,,5/12/2009
Defaults and Dismissals,Registered Imaging Service,CI 01-0517-000,,2/15/2005
Defaults and Dismissals,Registered Imaging Service,CI 12-0584-000,,12/20/2011
Defaults and Dismissals,Registered Imaging Service,CI 10-1259-200,,6/11/2010
Defaults and Dismissals,Registered Imaging Service,CI 11-1550-000,,2/2/2011
Settlement Agreements,Registered Imaging Service Inc,CI 94-0982-192-2,01-1154,10/14/2002
Defaults and Dismissals,Registered Imaging Services Inc,2004005464,04-242PH,8/30/2004
Defaults and Dismissals,Registered Imaging Services Inc,2009010103,09-1069PH,2/2/2010
Defaults and Dismissals,Regla L Betancourt,2024-000023985,,9/9/2024
Settlement Agreements,Regnecy Elderly Care Inc,2016011095,,12/20/2016
Settlement Agreements,Rego's ALF Inc,2025015755,26-137PH,3/30/2026
Settlement Agreements,Rehab & Healthcare Center of Cape Coral,2023003942,,10/6/2023
Defaults and Dismissals,Rehab & Healthcare Center of Cape Coral,"2020020269, NH19-020C",,5/21/2021
Defaults and Dismissals,Rehab & Healthcare Center Of Cape Coral,2017012008,,11/9/2017
Defaults and Dismissals,Rehab & Healthcare Of Tampa Inc,2010000233,,2/2/2010
Settlement Agreements,Rehab & Wellness Services Inc,2014008797,14-5046,12/16/2014
Defaults and Dismissals,"Rehab 1 Of Charlotte County, Inc",2004004796,,8/23/2004
Defaults and Dismissals,Rehab and Fitness Consultants,2016014216,,2/13/2017
Settlement Agreements,Rehab And Healthcare Center Of Cape Coral,2007006526,,8/17/2007
Defaults and Dismissals,Rehab And Healthcare Center Of Cape Coral,"2006008572, 2006008574",,12/20/2006
Settlement Agreements,Rehab and Healthcare Center of Cape Coral,NH01-116M,02-78PH,10/14/2002
Settlement Agreements,Rehab and Healthcare Center of Cape Coral,2008004834,,7/24/2008
Miscellaneous Orders,Rehab and Healthcare Center of Cape Coral,2018017985,,1/4/2019
Settlement Agreements,Rehab and Healthcare Center of Tampa,NH02-074B,03-257PH,2/17/2004
Settlement Agreements,Rehab and Healthcare Center of Tampa,NH04-185B,04-287PH,3/15/2005
Settlement Agreements,Rehab and Healthcare Center of Waldemere Place,NH02-076B,03-219PH,9/20/2007
Settlement Agreements,Rehab at Home,2019002586,,6/21/2019
Settlement Agreements,Rehab at Home LLC,"2019014884, 2020006611",20-1561,7/14/2020
Defaults and Dismissals,Rehab at Home LLC,2023004008,,4/10/2023
Settlement Agreements,Rehab Center of Palm Beach,NH04-186B,,10/14/2005
Settlement Agreements,Rehab Center of Palm Beach,10-47TPL,,3/30/2010
Defaults and Dismissals,Rehab Center of the Palm Beaches,NH10-012G,,8/19/2011
Defaults and Dismissals,"Rehab Dynamics Of South Florida, Llc",2004004733,,7/15/2004
Settlement Agreements,Rehab For All Inc,2009009138,09-940PH,2/9/2010
Defaults and Dismissals,Rehab Home Health Inc,2021003891,,5/21/2021
Defaults and Dismissals,Rehab Home Health Inc,2014008156,,10/9/2014
Defaults and Dismissals,Rehab Master Inc,2010008638,,10/7/2010
Defaults and Dismissals,Rehab Matters Home Health,2015005600,,7/9/2015
Recommended Orders,Rehab Matters Home Health Inc,2009002160,09-161PH,3/4/2010
Settlement Agreements,Rehab Medical Inc,2021008622,21-365PH,2/11/2022
Defaults and Dismissals,Rehab Medical LLC,2021006155,,6/14/2021
Defaults and Dismissals,Rehab Now Inc,2015007036,,10/6/2015
Defaults and Dismissals,Rehab Plus & Medical Center Inc,2013011635,,5/2/2014
Settlement Agreements,Rehab Review Inc,2007006652,,8/21/2007
Defaults and Dismissals,Rehab Solutions Services Inc,2014010232,,1/27/2015
Defaults and Dismissals,Rehab Specialists of Collier,2018017204,,2/7/2019
Settlement Agreements,Rehab Technologies LLC,2024005219,24-219PH,7/16/2024
Defaults and Dismissals,Rehabchoice Inc,2010012900,,1/26/2011
Settlement Agreements,Rehabiliation and Healthcare Center of Cape Coral,NH04-179B,05-90PH,7/5/2006
Defaults and Dismissals,Rehabilitation & Healthcare Center,06-98-151-NH,,7/6/2001
Defaults and Dismissals,Rehabilitation & Healthcare Center of Cape Coral,"DR23-058P, 2024005758",,6/27/2024
Settlement Agreements,Rehabilitation & Healthcare Center of Tampa,06-98-090-NH,98-2348,1/4/1999
Defaults and Dismissals,Rehabilitation Alternative Therapy & Spa Center Inc,2023002566,23-408PH,10/23/2023
Defaults and Dismissals,Rehabilitation and Electrodiagnostics,2007004437,,6/8/2007
Miscellaneous Orders,Rehabilitation and Health Care Center,2018016057,,12/20/2018
Miscellaneous Orders,Rehabilitation and Health Care Center,2017013823,,11/22/2017
Settlement Agreements,Rehabilitation and Healthcare Center of Cape CoraL,"2016003841, NH14-092C",,5/30/2018
Defaults and Dismissals,Rehabilitation and Healthcare Center of Cape Coral,F1215-0129-001,16-122PH,2/20/2017
Defaults and Dismissals,Rehabilitation and Healthcare Center of Cape Coral,1215-0129,,9/14/2016
Settlement Agreements,Rehabilitation And Healthcare Center Of Tampa,2007007007,,9/4/2007
Defaults and Dismissals,Rehabilitation And Healthcare Center Of Tampa,2004006999,,11/19/2004
Defaults and Dismissals,Rehabilitation And Healthcare Center Of Tampa,2003007171,,1/14/2004
Defaults and Dismissals,Rehabilitation and Healthcare Center of Tampa,2001073861,,2/12/2002
Defaults and Dismissals,Rehabilitation and Healthcare Center of Tampa,08-01-0332-NH,,2/5/2002
Defaults and Dismissals,Rehabilitation And Healthcare Center Of Tampa,2003007174,,11/18/2003
Defaults and Dismissals,Rehabilitation and Healthcare Center of Tampa,2019001044,,3/8/2019
Settlement Agreements,Rehabilitation and Healthcare Center of Tampa,"NH16-045W, 2019000870",,2/10/2020
Defaults and Dismissals,Rehabilitation and Healthcare Center of Tampa,"2019013515, 2019017657",,1/3/2020
Defaults and Dismissals,Rehabilitation and Healthcare Center of Tampa,"2020020277, NH19-012C",,5/21/2021
Settlement Agreements,Rehabilitation and Healthcare Center of Tampa,2024006986,,10/28/2024
Settlement Agreements,Rehabilitation and Healthcare Center of Tampa,"2023002329, 2023002338",,3/4/2024
Defaults and Dismissals,Rehabilitation and Healthcare Center of Tampa,"NH23-024M, 2024001328",,5/9/2024
Defaults and Dismissals,Rehabilitation and Healthcare Center of Tampa,2025000122,,3/24/2025
Defaults and Dismissals,Rehabilitation and Healthcare Center of Tampa,2025006865,,8/18/2025
Defaults and Dismissals,Rehabilitation and Healthcare Center of Tampa,1215-0142,,10/18/2016
Defaults and Dismissals,Rehabilitation and Healthcare Center of Tampa,F1215-0142-001,16-123PH,11/29/2016
Defaults and Dismissals,Rehabilitation and Healthcare Center of Tampa,2014008718,,10/20/2014
Miscellaneous Orders,Rehabilitation and Healthcare Center of Tampa,2017012288,,11/13/2017
Defaults and Dismissals,Rehabilitation and Healthcare of Tampa,200202348,,5/20/2002
Defaults and Dismissals,Rehabilitation Care Services,2023007682,,6/26/2023
Recommended Orders,Rehabilitation Center at Hollywood Hills LLC,2017-0007810,20-211PH,11/5/2020
Recommended Orders,Rehabilitation Center at Hollywood Hills LLC,2019-0016160,20-212PH,11/5/2020
Defaults and Dismissals,Rehabilitation Center at Hollywood Hills LLC,2017-0007810,"20-211PH, 19-6184MPI, 4D20-2588",7/26/2021
Defaults and Dismissals,Rehabilitation Center at Hollywood Hills LLC,2019-0016160,"20-212PH, 19-6183MPI, 4D20-2589",7/26/2021
Settlement Agreements,Rehabilitation Center at Hollywood Hills LLC,2017012852,,8/23/2022
Defaults and Dismissals,Rehabilitation Center at Hollywood Hills LLC,2017013265,,5/25/2018
Recommended Orders,Rehabilitation Center at Hollywood Hills LLC,2017011570,17-5769,1/4/2019
Defaults and Dismissals,Rehabilitation Center at Hollywood Hills LLC,0517-0519,,9/28/2017
Defaults and Dismissals,Rehabilitation Center at Hollywood Hills LLC,F0517-0519-001,,9/28/2017
Miscellaneous Orders,Rehabilitation Center at Hollywood Hills LLC,2017013265,,11/29/2017
Defaults and Dismissals,Rehabilitation Center at Hollywood Hills LLC,2017-0007728,,9/14/2017
Emergency Orders,"Rehabilitation Center at Hollywood Hills, LLC",2017010404,,9/13/2017
Emergency Orders,"Rehabilitation Center at Hollywood Hills, LLC",2017010728,,9/20/2017
Settlement Agreements,Rehabilitation Center at Jupiter Gardens,"F0316-0815-001, F0416-0820-001, F0516-0815-001, F0616-0804-001, F0716-0817-001, F0816-0785-001, F0916-0765-001, F1116-0641-001","17-051PH, 17-085PH, 17-053PH, 17-054PH, 17-055PH, 17-056PH, 17-057PH, 17-058PH",8/25/2017
Settlement Agreements,Rehabilitation Center at Jupiter Gardens,"N0316-0001-002, N0416-0002-002, N0516-0003-002, N0616-0001-002, N0716-0005-002","16-589PH, 16-588PH, 16-587PH, 16-586PH, 16-585PH",5/19/2017
Miscellaneous Orders,Rehabilitation Center at Jupiter Gardens,2017012709,,11/16/2017
Defaults and Dismissals,Rehabilitation Center at Jupiter Gardens LLC,"NH19-235F, 2021000975",,4/19/2022
Defaults and Dismissals,Rehabilitation Center at Jupiter Gardens LLC,"2020019732, NH19-235M",,5/4/2021
Defaults and Dismissals,Rehabilitation Center at Park Place,"2020018768, NH19-269M",,3/23/2021
Defaults and Dismissals,Rehabilitation Center at Park Place,2020017697,,2/16/2021
Defaults and Dismissals,Rehabilitation Center at Park Place,2019001485,,3/3/2020
Defaults and Dismissals,Rehabilitation Center at Park Place,"NH20-065M, 2022000301",,11/9/2022
Defaults and Dismissals,Rehabilitation Center at Park Place,2018008407,,8/30/2018
Defaults and Dismissals,Rehabilitation Center at Park Place,2018008408,,8/30/2018
Defaults and Dismissals,Rehabilitation Center at Park Place,2018008405,,6/26/2018
Defaults and Dismissals,Rehabilitation Center at Park Place,2018008838,,7/30/2018
Defaults and Dismissals,Rehabilitation Center at Park Place,2019018176,,2/11/2020
Defaults and Dismissals,Rehabilitation Center at Park Place,2019012147,,9/6/2019
Defaults and Dismissals,Rehabilitation Center at Park Place,2019012149,,9/6/2019
Defaults and Dismissals,Rehabilitation Center at Park Place,2019012151,,9/6/2019
Defaults and Dismissals,Rehabilitation Center at Park Place,2019012153,,9/6/2019
Defaults and Dismissals,Rehabilitation Center at Park Place,2019012154,,9/6/2019
Defaults and Dismissals,Rehabilitation Center at Park Place,2019012156,,9/6/2019
Defaults and Dismissals,Rehabilitation Center at Park Place,2019012160,,9/6/2019
Defaults and Dismissals,Rehabilitation Center at Park Place,2019012175,,9/6/2019
Defaults and Dismissals,Rehabilitation Center at Park Place,2019012163,,9/6/2019
Settlement Agreements,Rehabilitation Center at Park Place,"2016007834, NH15-002G",,10/8/2019
Defaults and Dismissals,Rehabilitation Center at Park Place,F1118-0543-001,,4/16/2019
Defaults and Dismissals,Rehabilitation Center at Park Place,2024014301,,2/3/2025
Miscellaneous Orders,Rehabilitation Center at Park Place,2017012425,,11/14/2017
Miscellaneous Orders,Rehabilitation Center at Park Place LLC,2019013626,,9/24/2019
Defaults and Dismissals,Rehabilitation Center at Park Place LLC,2019002981,,9/13/2019
Miscellaneous Orders,Rehabilitation Center at Park Place LLC,2019008640,,7/31/2019
Defaults and Dismissals,Rehabilitation Center at Park Place LLC,2017014559,,5/25/2018
Miscellaneous Orders,Rehabilitation Center at Park Place LLC,2018018420,,1/7/2019
Defaults and Dismissals,Rehabilitation Center at Park Place LLC,2017006573,,11/20/2017
Settlement Agreements,Rehabilitation Center Jupiter Gardens LLC,2016000051,,3/7/2016
Defaults and Dismissals,Rehabilitation Center of St Pete,2015-0004963,17-022PH,4/20/2018
Defaults and Dismissals,Rehabilitation Center of St Pete,2016-0006630,16-513PH,4/20/2018
Defaults and Dismissals,Rehabilitation Center of St Pete,2017002054,17-162PH,3/5/2018
Defaults and Dismissals,Rehabilitation Center of St Pete,15-354-MPF,,2/8/2016
Defaults and Dismissals,Rehabilitation Center of St Pete,NH14-022C,,5/13/2016
Recommended Orders,Rehabilitation Center of St Petersburg,"2015000096, 2014002563, 2014003829","15-0619, 15-5469",8/30/2016
Defaults and Dismissals,Rehabilitation Center of the Palm Beaches,"DR23-057P, 2024005759",,6/27/2024
Defaults and Dismissals,Rehabilitation Center of the Palm Beaches,1215-0136,,9/14/2016
Defaults and Dismissals,Rehabilitation Center of the Palm Beaches,F1215-0136-001,16-124PH,2/20/2017
Defaults and Dismissals,Rehabilitation Center of The Palm Beaches,2013004230,,11/27/2013
Settlement Agreements,"Rehabilitation Center Of The Palm Beaches,The","2003004464, 2003003792",03-3090,10/16/2003
Settlement Agreements,"Rehabilitation Center Of The Palm Beaches,The","2005002271, 2005002270",05-234PH,7/29/2005
Settlement Agreements,"Rehabilitation Center Of Winter Park, The","2002048273, 2002048917","03-0194, 03-0195",3/5/2003
Settlement Agreements,"Rehabilitation Center Of Winter Park, The","2007002105, 2007002106",07-2686,10/24/2007
Defaults and Dismissals,Rehabilitation Consultants PA,2008003722,,7/18/2008
Defaults and Dismissals,Rehabilitation Hospital of Sarasota,2006011022,07-0250,8/15/2008
Defaults and Dismissals,Rehabilitation Inc,NH16924,,2/26/2015
Settlement Agreements,Rehabilitation of South Florida Inc,2023001636,23-108PH,3/21/2023
Settlement Agreements,Rehabilitation of South Florida Inc,2016011011,16-490PH,2/1/2017
Settlement Agreements,"Rehabilitation Of South Florida, Inc.",2006007913,06-273PH,3/8/2007
Defaults and Dismissals,Reid Alan Flamer,2011008307,,10/6/2011
Defaults and Dismissals,"Reid, Kelly Jean",2006002662,06-101PH,7/21/2006
Defaults and Dismissals,Reign & Co LLC,2024004834,,5/28/2024
Defaults and Dismissals,Reinaldo Carvajal,CI 10-1055-200,,5/4/2010
Defaults and Dismissals,Reinaldo Hernandez,2009009643,,12/22/2009
Defaults and Dismissals,Reinaldo Hernandez,2011006820,,8/25/2011
Settlement Agreements,Reinaldo Hernandez,2011008431,11-641PH,10/24/2011
Defaults and Dismissals,Reinaldo Hernandez,2011001636,,11/21/2011
Defaults and Dismissals,Reinaldo Hernandez AFCH,2010008615,,10/6/2010
Settlement Agreements,Reina's Care Corp,2024009635,24-393PH,8/19/2024
Defaults and Dismissals,Reina's Home Care Corp,2015-0004377,,7/20/2015
Defaults and Dismissals,Reinassance Home Health Corp,2008001810,08-100PH,4/21/2008
Defaults and Dismissals,Reiter Ortho LLC,2024009818,,11/4/2024
Settlement Agreements,Rejoice of Care LLC,2021010964,21-443PH,3/14/2022
Defaults and Dismissals,Rejuv Aesthetics MD PA,2024011018,,1/6/2025
Defaults and Dismissals,Rejuve_RX,2022012764,,10/12/2022
Settlement Agreements,Rejuvenx of St Pete LLC,2025007278,,7/14/2025
Settlement Agreements,Relax Care Companion LLC,2022012162,22-474PH,10/24/2022
Defaults and Dismissals,Relax Mental Health Care,2020007731,,3/26/2021
Settlement Agreements,Relaxing Rehab Center Inc,2020007670,21-229PH,8/2/2021
Defaults and Dismissals,Relentless Home Health Care LLC,2025013787,,11/18/2025
Defaults and Dismissals,Reliable Care Inc,11-01-002-HME,01-1725,7/17/2001
Settlement Agreements,Reliable Caring Companions,2020-0020023,,7/26/2021
Defaults and Dismissals,Reliable Distinguished Home Care,2017014920,18-097PH,7/12/2018
Defaults and Dismissals,Reliable Distinguished Home Care,2019000257,,4/22/2019
Defaults and Dismissals,Reliable Distinguished Home Care,2019000257,,2/25/2019
Defaults and Dismissals,Reliable Health Care Inc,2014006911,,6/15/2015
Settlement Agreements,Reliable Health Care Inc,2015002371,15-133PH,5/9/2016
Settlement Agreements,Reliable Health Care Inc,2010011957,10-824PH,2/28/2011
Defaults and Dismissals,"Reliable Health Plan, Inc",HMO95-22,96-01FO,2/1/1996
Defaults and Dismissals,Reliable Healthcare Resources LLC,2024014407,,1/6/2025
Defaults and Dismissals,Reliable Healthcare Resources LLC,2023009589,,8/8/2023
Settlement Agreements,Reliable Home Care Support LLC,2024008899,24-372PH,8/19/2024
Defaults and Dismissals,Reliable Home Companion Caregivers,2021010514,21-465PH,9/1/2021
Defaults and Dismissals,Reliable Home Health Care LLC,2013002836,,9/4/2013
Recommended Orders,Reliable Home Health Care LLC,2012004451,12-307PH,12/21/2012
Defaults and Dismissals,Reliable Home Health Corporation,2005005155,,7/7/2005
Defaults and Dismissals,Reliable In-Home Care Inc,2024013685,,11/25/2024
Defaults and Dismissals,Reliable In-Home Care Inc,2025013384,,10/13/2025
,Reliable Medical Equipment,,96-90PH,6/25/1998
Defaults and Dismissals,Reliable Medical Equipment Inc,2006001485,,1/26/2007
Defaults and Dismissals,Reliable Pharmacy,2018-0011289,,11/30/2018
Defaults and Dismissals,"Reliable Private Care, Inc",2008009491,,1/5/2009
Defaults and Dismissals,"Reliable Private Care, Inc",2008010427,,11/20/2008
Defaults and Dismissals,"Reliable Private Care, Inc",2008010729,08-6050,10/5/2009
Defaults and Dismissals,"Reliable Private Care, Inc",2009002163,,8/19/2009
Settlement Agreements,"Reliable Private Care, Inc.","2007006139, 2007006729",07-239PH,10/19/2007
Emergency Orders,"Reliable Private Care, Inc.",2007005543,,5/18/2007
Defaults and Dismissals,Reliable Reach Home Assistance LLC,2025014878,,12/1/2025
Defaults and Dismissals,Reliable Rehab Center Inc,2007004907,,10/1/2008
Defaults and Dismissals,Reliable Respiratory Care Inc,2007003002,,9/25/2008
Defaults and Dismissals,Reliable Respiratory Care Inc,2002049253,,2/5/2003
Settlement Agreements,Reliable Senior Care,2023002764,23-100PH,11/6/2023
Settlement Agreements,Reliacare Inc,2003006921,03-326PH,2/5/2004
Defaults and Dismissals,Reliacare Inc,2008009824,,11/19/2008
Settlement Agreements,Reliacare Inc,2017012934,17-404PH,2/14/2018
Defaults and Dismissals,Reliance Diagnostics LLC,2023-000022737,,11/20/2023
Defaults and Dismissals,Reliance Diagnostics LLC,2024-000024445,,12/2/2024
Defaults and Dismissals,"Reliance Home Health Care, LLC",2007009315,,10/24/2007
Settlement Agreements,"Reliance Home Health Care, LLC",2011001185,11-145PH,5/2/2011
Defaults and Dismissals,Reliance Medical Staffing,2021001769,,3/25/2021
Defaults and Dismissals,Reliance Medical Staffing,2021006622,,6/21/2021
Settlement Agreements,Reliance Pathology Partners Inc,2008004773,,6/10/2008
Defaults and Dismissals,Reliant Home Care Solutions LLC,2020013182,20-386PH,9/29/2020
Settlement Agreements,Reliant Home Health Care LLC,2012001785,12-201PH,6/11/2012
Defaults and Dismissals,Reliant Medical Supplies Inc,2004009748,,1/20/2005
Defaults and Dismissals,Reliant Staffing Solutions,2022013829,,10/24/2022
Settlement Agreements,Relias Home Care and Companion Services LLC,2026003581,26-216PH,4/21/2026
Defaults and Dismissals,Relief Chiropractic,2022014446,22-583PH,4/24/2023
Defaults and Dismissals,"Relief Enterprise, Inc",2009005652,,8/19/2009
Defaults and Dismissals,Relief Health Supply LLC,2013009258,,1/3/2014
Settlement Agreements,Relief Medical Center LLC,2009005722,,7/16/2009
Defaults and Dismissals,Relieve Staffing LLC,2025017116,,1/15/2026
Defaults and Dismissals,Relig Staffing Inc,2022012291,,10/31/2022
Defaults and Dismissals,Reliv Again Wellness PLLC,2026001030,,3/3/2026
Defaults and Dismissals,Rely On Homecare LLC,2024013649,,11/25/2024
Settlement Agreements,Rely-Cares LLC,2024012120,24-507PH,7/21/2025
Defaults and Dismissals,Rely-Cares LLC,2023013712,,10/23/2023
Defaults and Dismissals,Remanso ALF Inc,2018006504,,7/16/2018
Defaults and Dismissals,Remanso ALF Inc,"2017008778, 2017013974, 2017013975, 2017013976",,5/25/2018
Defaults and Dismissals,Remanso ALF Inc,"2018009518, 2018007938",,11/13/2018
Defaults and Dismissals,Remanso ALF Inc,2018011483,,9/17/2018
Defaults and Dismissals,Remanso ALF Inc,2018014986,,3/8/2019
Defaults and Dismissals,Remanso ALF Inc,2018011983,18-709PH,3/20/2019
Settlement Agreements,Remanso ALF Inc,2010010752,,11/18/2010
Defaults and Dismissals,Remanso ALF Inc dba Remanso ALF Inc,2008006523,,11/7/2008
Defaults and Dismissals,Remanso ALF Inc.,2007010732,,1/31/2008
Defaults and Dismissals,"Remanso ALF, Inc",2007012709,08-177PH,10/7/2008
Recommended Orders,"Remanso ALF, Inc dba Remanso ALF Inc",2007008813,07-370PH,7/19/2010
Settlement Agreements,Rembrandt Mobile Diagnostics Inc,2016011511,16-503PH,2/1/2017
Defaults and Dismissals,Remedies,2021015626,,12/22/2021
Settlement Agreements,Remedy Care Solution LLC,2021004325,21-193PH,7/12/2021
Settlement Agreements,Remedy Care Solution LLC,2023018467,24-036PH,3/4/2024
Settlement Agreements,Remedy Care Solution LLC,"2022-0022593, 2023-000018822",,9/11/2025
Settlement Agreements,Remedy Infusions & Nursing Solutions INC,2011008206,11-615PH,11/3/2011
Defaults and Dismissals,Remedy Therapy LLC,2024003836,,4/15/2024
Defaults and Dismissals,Remington House,2005001803,,6/14/2005
Settlement Agreements,Remote Neuromonitoring Physicians PC,2015003202,,6/23/2015
Defaults and Dismissals,Renacer Home Care,2008007127,,9/25/2008
Settlement Agreements,Renacer Home Care,2022015275,23-093PH,4/7/2023
Defaults and Dismissals,Renacer Home Care,2012002430,,7/10/2012
Defaults and Dismissals,Renacer Home Care Corp,2016008386,,5/15/2018
Defaults and Dismissals,Renacer Home Health Care Inc,CI 12-2682-000,,9/27/2012
Defaults and Dismissals,Renacer Home Health Care Inc,2012003366,,9/18/2012
Defaults and Dismissals,Renacer Home Health Care Inc,2015002372,,4/15/2015
Settlement Agreements,Renacer Home Health Care Inc,2016009995,,1/13/2017
Defaults and Dismissals,"Renacer Home Health Care Inc dba Renacer Home Health Care, Inc",2009004841,,7/14/2009
Defaults and Dismissals,"Renacer Home Health Care, Inc.",2003007077,,11/4/2003
Defaults and Dismissals,Renae Kendrick,2017012189,17-412PH,4/2/2018
Defaults and Dismissals,Renae Kinsman,2011009905,,10/17/2011
Defaults and Dismissals,Renae Sue Kinsman,2010011941,,12/17/2010
Defaults and Dismissals,Renae Sue Kinsman dba Renae's Elderly Care Home,2009011606,,3/3/2010
Settlement Agreements,Renaissance,2023009383,23-293PH,7/5/2023
Defaults and Dismissals,Renaissance (The),"2003008779, 2003009107",,3/16/2004
Defaults and Dismissals,Renaissance (The),2003007793,,1/14/2004
Defaults and Dismissals,Renaissance at the Terraces,2024008090,,3/3/2025
Defaults and Dismissals,Renaissance at the Terraces,2018004508,,4/18/2018
Defaults and Dismissals,Renaissance at The Terraces,2019018958,,1/31/2020
Defaults and Dismissals,Renaissance at the Terraces,2015008011,,2/5/2016
Defaults and Dismissals,Renaissance at the Terraces,2015010327,,2/5/2016
Miscellaneous Orders,Renaissance at the Terraces,2017012553,,11/16/2017
Settlement Agreements,Renaissance Gardens,2007008683,07-302PH,11/27/2007
Settlement Agreements,Renaissance Gardens,2006010044,07-103PH,9/4/2007
Defaults and Dismissals,Renaissance Gardens,2002020411,,9/13/2002
Defaults and Dismissals,Renaissance Gardens,11-94-016-ACLF,94-69PH,4/22/1996
Defaults and Dismissals,Renaissance Gardens,11-95-011-ALF,95-5945,4/19/1996
Defaults and Dismissals,Renaissance Gardens,CI 12-2183-000,,8/6/2012
Miscellaneous Orders,Renaissance Health and Rehabilitation,2019017471,,2/5/2020
Miscellaneous Orders,Renaissance Health and Rehabilitation,2019017471,,2/5/2020
Miscellaneous Orders,Renaissance Health and Rehabilitation,2019005686,,6/18/2019
Defaults and Dismissals,Renaissance Health and Rehabilitation,2018008850,,7/30/2018
Miscellaneous Orders,Renaissance Health and Rehabilitation,2018015106,,12/17/2018
Settlement Agreements,Renaissance Health and Rehabilitation,"2021002215, 2021002218",,8/11/2021
Settlement Agreements,Renaissance Health and Rehabilitation,"2023011192, 2023012653",,11/14/2023
Defaults and Dismissals,Renaissance Health and Rehabilitation,"NH21-128M, 2023005203",,3/27/2024
Miscellaneous Orders,Renaissance Health and Rehabilitation,2017013357,,11/29/2017
Defaults and Dismissals,Renaissance Health and Rehabilitation,15-269-MPF,,7/21/2015
Defaults and Dismissals,Renaissance Health and Rehabilitation Center,"NH16-134C, 2017014513",,10/3/2018
Defaults and Dismissals,Renaissance Health Care Corp dba Helen Wilkes Health Care Center,,93-4260,2/8/1994
Settlement Agreements,Renaissance Healthcare Group dba Pasadena Villa At Lake Highland,2010008992,10-561PH,11/19/2010
Settlement Agreements,Renaissance Healthcare Group dba Pasadena Villa At Sumerlin Park,2010008993,10-584PH,11/19/2010
Defaults and Dismissals,Renaissance Home & Health Services LLC,2016013827,,3/3/2017
Settlement Agreements,Renaissance Home Health Care Inc,2024011675,24-492PH,10/21/2024
